Estrutura armazenamento   | Quantidade pessoas        | Quantidade buscas         | Tempo percorrido (Seg)    | Tempo percorrido (Ms)     | Data de execução         
ARRAY_LIST                | 2500000                   | 20000                     | 35.956146399999994        | 35956.1464                | 2024-02-19T23:06:22.893900500
ARRAY_LIST                | 5000000                   | 20000                     | 114.5203728               | 114520.3728               | 2024-02-19T23:08:17.415420600
ARRAY_LIST                | 10000000                  | 20000                     | 291.2867004               | 291286.7004               | 2024-02-19T23:13:08.702844900
ARRAY_LIST                | 2500000                   | 40000                     | 69.9921605                | 69992.1605                | 2024-02-19T23:14:18.695714100
ARRAY_LIST                | 2500000                   | 20000                     | 36.3878573                | 36387.8573                | 2024-02-19T23:15:30.643696900
ARRAY_LIST                | 5000000                   | 20000                     | 113.2583342               | 113258.3342               | 2024-02-19T23:17:23.904005200
ARRAY_LIST                | 10000000                  | 20000                     | 286.88866850000005        | 286888.6685               | 2024-02-19T23:22:10.794306100
ARRAY_LIST                | 2500000                   | 40000                     | 70.14469190000001         | 70144.6919                | 2024-02-19T23:23:20.939978100
HASH_MAP                  | 2500000                   | 20000                     | 0.1731077                 | 173.1077                  | 2024-02-19T23:23:21.114323700
HASH_MAP                  | 5000000                   | 20000                     | 0.2763805                 | 276.3805                  | 2024-02-19T23:23:21.391218200
HASH_MAP                  | 10000000                  | 20000                     | 0.6062696999999999        | 606.2697                  | 2024-02-19T23:23:21.998836600
HASH_MAP                  | 2500000                   | 40000                     | 0.2032569                 | 203.2569                  | 2024-02-19T23:23:22.202114200
ARRAY_LIST                | 2500000                   | 20000                     | 35.9451611                | 35945.1611                | 2024-02-19T23:45:10.800687700
ARRAY_LIST                | 5000000                   | 20000                     | 112.2101275               | 112210.1275               | 2024-02-19T23:47:03.013463300
ARRAY_LIST                | 10000000                  | 20000                     | 286.4275742               | 286427.5742               | 2024-02-19T23:51:49.441388300
ARRAY_LIST                | 2500000                   | 40000                     | 71.30561259999999         | 71305.6126                | 2024-02-19T23:53:00.748584700
HASH_MAP                  | 2500000                   | 20000                     | 0.1698514                 | 169.8514                  | 2024-02-19T23:53:00.919577800
HASH_MAP                  | 5000000                   | 20000                     | 0.240969                  | 240.969                   | 2024-02-19T23:53:01.160764400
HASH_MAP                  | 10000000                  | 20000                     | 0.636312                  | 636.312                   | 2024-02-19T23:53:01.797453400
HASH_MAP                  | 2500000                   | 40000                     | 0.11117780000000001       | 111.1778                  | 2024-02-19T23:53:01.909847300
